UTM Campaign,Visits,Registrations,FTD to Lead  %,Deposits,Deposits amount,FTDs,FTDs amount,Bonus amount,QFTDs  CPA,Withdrawals,Withdrawals amount,Net Deposits,Net P&L,CPA,RevShare,Commission  from Sub Aff.,Commissions,Adjustments,Payments,Balance,Chargebacks,Deductions
"leonardocruzsubap",0,0,0,4,164,0,0,0,0,2,160,4,2.6529998779296875,0,0.26530003547668457,0,0.26530003547668457,0,0,0.26530003547668457,0,0
"santossubap",0,0,0,3,245,0,0,0,0,1,300,-55,-38.42300033569336,0,-3.8422999382019043,0,-3.8422999382019043,0,0,-3.8422999382019043,0,0
"helensantossubap",20,1,2,2,45,2,45,0,0,0,0,45,31.255000114440918,0,3.125499963760376,0,3.125499963760376,0,0,3.125499963760376,0,0
"paulalarissasubap",0,0,0,2,96,0,0,0,0,1,40,56,39.49399948120117,0,3.949399948120117,0,3.949399948120117,0,0,3.949399948120117,0,0
"manuacp",0,0,0,1,3.5,0,0,0,0,0,0,3.5,2.450000047683716,0,0.24500000476837158,0,0.24500000476837158,0,0,0.24500000476837158,0,0
"alan",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"biancaluizasubap",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"julianeap",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"luanaandradesubap",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
